Title,Domestic Sales,International Sales,,
Toy Story,191796233,170162503,,
A Bug's Life,162798565,200600000,,
Toy Story 2,245852179,239163000,,
"Monsters, Inc.",289916256,272900000,, 
Finding Nemo,380843261,555900000,,
The Incredibles,261441092,370001000,,
Cars,244082982,217900167,,
Ratatouille,206445654,417277164,,
WALL-E,223808164,297503696,,
Up,293004164,438338580,,
Toy Story 3,415004880,648167031,,
Cars 2,191452396,368400000,,
Brave,237283207,301700000,,
Monsters University,268492764,475066843,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,Title,international_sales,
